1024x768
40,40,40,40,40,40,40,40,40,40,40,40,40,40,60,40,40,40,40,40,40,40,40,42, 0, 0, 0, 0, 0, 0, 0, 0,
40,40,40,60,40,40,40,40,57,40,58,40,40,59,59,60,40,40,40,40,57,57,40,62, 0,30,29, 0, 0, 0, 0, 0,
40,40,60,59,40,40,40,57,56,58,40,40,40,40,40,40,59,40,57,58,58,56,57,42,17, 3, 3,22, 3, 3, 3, 3,
40,40,40,40,40,40,40,40,57,57,40,40,40,40,58,40,40,57,56,57,40,58,40,62, 2,15,15,13,15,15,15,15,
40,40,40,40,57,40,52,63,63,49,40,40,57,54,55,52,63,43,63,63,63,43,63,46, 2,15, 8,24, 1, 1, 5,15,
40,40,40,58,56,57,62, 0, 0,47,49,40,54,55,40,42, 0, 0, 0,17, 3, 3, 3, 3, 6,15, 4, 0,34, 0, 2,15,
40,40,58,57,57,40,51,45,33, 0,64,40,40,52,63,46, 0,34, 0, 2,15,15,15,15,15,15, 4,31,34,31, 2,15,
40,55,54,40,40,40,40,51,61,41,50,40,40,62, 0,33,33, 0,31, 2,15, 8, 1, 1, 5,15, 4, 0,34, 0, 2,15,
40,54,40,60,40,40,40,40,40,52,63,43,63,46, 0,31, 0, 0,34, 2,15, 4,32,32, 2,15, 4,31, 0,31, 2,15,
40,57,40,59,59,40,40,40,40,42,33, 0,17, 3, 3, 3, 3, 3, 3, 6,15, 4, 0,34, 2,15, 4, 0, 0, 0, 2,15,
40,60,40,40,60,40,40,52,43,46,29,34, 2,15,15,15,15,15,15,15,15, 4, 0, 0,21,14,23,31, 0,31, 2,15,
40,40,40,40,40,40,40,62, 0,29,30,31, 2,15, 8, 1, 1, 1, 1, 5,15, 4,34,34, 2,15, 4,34, 0, 0, 2,15,
40,40,40,40,58,57,40,62, 0,34,29, 0,21,14,23,32, 0,34, 0, 2,15, 4, 0, 0, 2,15, 4,31, 0,31, 2,15,
40,40,40,40,57,56,57,51,61,61,45, 0, 2,15, 4,32, 0, 0, 0,21,14,23, 0,17, 6,15, 4, 0,34, 0, 2,15,
59,60,40,57,40,52,63,43,49,40,42, 0, 2,15, 7, 3, 3, 3, 3, 6,15, 7, 3, 6,15,15, 4,31, 0,31, 2,15,
60,59,58,56,58,42, 0,33,64,40,51,45, 2,15,15,15,15,15,15,15,15,15,15,15,15, 8,19, 0, 0,34, 2,15,
40,59,57,57,40,62,33, 0,64,40,52,46,16, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5,15, 4,29,29, 0, 0, 2,15,
40,40,40,40,40,51,41,61,50,40,62, 0,34, 0,48,45, 0, 0,48,41,61,45, 0, 2,15, 7, 3, 3, 3,22, 6,15,
40,40,40,40,40,40,40,40,40,40,42,33, 0,48,50,51,61,41,50,52,43,46, 0, 2,15,15,15,15,15,13,15,15,
40,40,40,57,55,54,40,40,40,40,51,61,61,50,59,40,40,40,40,42, 0, 0,32,16, 1, 1, 1, 1, 1,20, 1, 1,
40,40,40,40,57,54,40,40,57,58,40,40,40,40,52,63,43,49,40,62,33, 0,32,30,29,30,34, 0,31, 0,31, 0,
40,40,60,40,40,40,40,57,56,57,40,60,40,55,42,34, 0,44,57,51,61,45,32,32,30,29, 0, 0, 0,34, 0, 0,
40,40,40,59,40,40,40,58,57,40,59,40,40,40,51,41,61,50,40,40,40,42, 0,33,33,34, 0, 0,31, 0,31, 0,
40,40,40,40,40,40,40,40,40,40,40,40,60,40,40,40,40,40,40,40,58,51,41,45, 0,33, 0,33, 0, 0, 0, 0, 
